Title,Genres,Styles,Platform,Description
"Crash Landing on You","Romance, Drama, Comedy","Military, War","Netflix","A South Korean heiress crash-lands in North Korea and meets a stoic soldier who risks everything to protect her. Their forbidden romance defies borders and politics."
"What's Wrong with Secretary Kim","Romance, Comedy","Office","Viki","A narcissistic CEO is stunned when his loyal secretary announces her resignation, prompting him to uncover her past and confront his own feelings."
"Business Proposal","Romance, Comedy","Office","Netflix","A young woman goes on a blind date pretending to be her friend—only to discover her date is the CEO of her company. Chaos and romance ensue."
"Strong Woman Do Bong Soon","Romance, Comedy, Fantasy","Action","Viki","A petite woman with superhuman strength is hired as a bodyguard by a quirky CEO, leading to hilarious moments and a thrilling mystery."
"It's Okay to Not Be Okay","Romance, Drama","Psychological","Netflix","A psychiatric ward caregiver and a troubled children's book author find healing and love as they confront deep emotional scars and childhood trauma."
"Goblin","Romance, Fantasy, Drama","Fantasy","Viki","An immortal goblin seeks a human bride to end his cursed life, but instead finds love and redemption in a modern-day high school girl."
"Descendants of the Sun","Romance, Action, Drama","Medical","Viki","A soldier and a doctor fall in love while serving in a disaster-stricken country, navigating duty, danger, and destiny."
"Weightlifting Fairy Kim Bok-Joo","Romance, Youth, Slice of Life","University, Sports","Netflix","A spirited weightlifter discovers first love and self-confidence while balancing sports, friendship, and college life."
"True Beauty","Romance, Comedy, Youth","School","Netflix","A high school girl masters makeup to hide her insecurities, but her secret is threatened when two boys see her true self."
"Hometown Cha-Cha-Cha","Romance, Comedy","Slice of Life","Netflix","A city dentist moves to a seaside village and clashes with a charming jack-of-all-trades, sparking a heartwarming romance."
"My Mister","Drama","Slice of Life","Netflix","A middle-aged man struggling with life's burdens forms an unexpected bond with a young woman facing her own hardships, leading to healing and quiet transformation."
"The Glory","Drama","Revenge","Netflix","A woman who endured brutal school bullying plots an elaborate revenge against her tormentors, weaving a dark and emotional tale of justice."
"My Liberation Notes","Drama, Slice of Life","Romance","Netflix","Three siblings trapped in mundane lives seek freedom and meaning, while a mysterious stranger quietly changes their world."
"Our Blues","Drama, Slice of Life","Family","Netflix","Set on Jeju Island, this ensemble drama explores the bittersweet lives of ordinary people, each facing love, loss, and second chances."
"Misaeng: Incomplete Life","Drama, Slice of Life","Office","Viki","A former baduk player enters the corporate world, navigating office politics and personal growth in a realistic portrayal of work life."
"Twenty-Five Twenty-One","Drama, Romance, Youth","Sports","Netflix","A passionate fencer and a struggling journalist fall in love during turbulent times, capturing the beauty and pain of youth and dreams."
"Sky Castle","Drama, Thriller","School, Family","Netflix","Elite families push their children to academic perfection, but hidden secrets and ambition unravel their seemingly perfect lives."
"Itaewon Class","Drama","Revenge","Netflix","An ex-convict opens a bar in Itaewon to challenge a corrupt conglomerate, driven by revenge, resilience, and a dream of justice."
"The Red Sleeve","Drama, Historical","Romance","Viki","A court lady and a crown prince fall in love amid palace intrigue, torn between duty and desire in this poignant historical romance."
"Vincenzo","Comedy, Thriller, Crime","Mafia, Action, Legal","Netflix","A Korean-Italian mafia consigliere returns to Seoul and uses unconventional methods to fight corruption, blending dark humor and action."
"Welcome to Waikiki","Comedy","Slice of Life","Viki","Three friends run a failing guesthouse while chasing their dreams, leading to absurd situations and heartfelt moments."
"Mr. Queen","Comedy, Historical, Fantasy","Time Travel","Viki","A modern-day chef wakes up in the body of a Joseon-era queen, causing hilarious chaos and unexpected romance in the royal court."
"The Sound of Your Heart","Comedy","Slice of Life","Netflix","Based on a popular webtoon, this quirky comedy follows a cartoonist and his eccentric family through everyday absurdities."
"Chief Kim","Comedy","Office","Viki","A former accountant with questionable morals becomes a whistleblower in a corrupt company, using wit and charm to fight injustice."
"Gaus Electronics","Comedy","Office","Viki","Employees at a chaotic electronics company navigate office politics, romance, and ridiculous situations in this workplace satire."
"Prison Playbook","Comedy, Drama","Slice of Life, Sports","Netflix","A baseball star lands in prison and adapts to life behind bars, forming unlikely friendships and finding humor in hardship."
"Signal","Thriller, Mystery, Fantasy","Crime, Police","Netflix","A mysterious walkie-talkie connects detectives across time to solve cold cases, blending suspense, emotion, and supernatural twists."
"Flower of Evil","Thriller, Mystery, Romance","Psychological","Netflix","A seemingly perfect husband hides a dark past, and his detective wife begins to unravel the truth behind his identity."
"Beyond Evil","Thriller, Mystery, Psychological","Police, Crime","Netflix","Two detectives confront their own demons while investigating a series of gruesome murders in a small town full of secrets."
"My Name","Thriller, Action","Revenge, Crime, Police","Netflix","After her father's death, a woman joins a drug ring and infiltrates the police force to uncover the truth and seek revenge."
"Kingdom","Thriller, Historical","Zombie, Action","Netflix","In Joseon-era Korea, a crown prince uncovers a deadly plague that turns people into zombies, threatening the kingdom's survival."
"Mouse","Thriller, Mystery, Psychological","Police, Crime","Viki","A rookie detective faces moral dilemmas when a serial killer case reveals shocking truths about genetics and human nature."
"The K2","Thriller, Action","Political","Netflix","A former mercenary becomes a bodyguard for a presidential candidate’s wife, uncovering dark secrets and navigating political conspiracies."
"All of Us Are Dead","Thriller","Zombie, School","Netflix","A zombie outbreak traps students inside their high school, forcing them to fight for survival and confront human nature at its worst."
"Healer","Action, Thriller","Romance","Netflix","A night courier with elite combat skills uncovers a conspiracy while falling for a determined journalist, blending action and heartfelt romance."
"Vagabond","Action, Suspense","Espionage","Netflix","After his nephew dies in a mysterious plane crash, a stuntman uncovers a web of corruption involving spies, politicians, and global intrigue."
"D.P.","Action, Drama","Military","Netflix","A young soldier is assigned to a unit that captures military deserters, exposing the harsh realities of army life and personal trauma."
"The Uncanny Counter","Action, Fantasy, Comedy","Supernatural","Netflix","A group of noodle shop workers secretly hunt evil spirits, using supernatural powers to protect the living from dark forces."
"Lawless Lawyer","Action, Legal","Revenge, Crime, Police","Netflix","A rebellious lawyer uses fists and legal tricks to fight corruption, seeking justice for his mother’s death in a city ruled by fear."
"Stranger","Mystery, Thriller, Legal","Crime, Police","Netflix","A stoic prosecutor and a passionate detective team up to solve a murder case, exposing deep-rooted corruption in the justice system."
"W","Mystery, Romance, Fantasy","Webtoon","Viki","A surgeon is pulled into a webtoon world where she meets its protagonist, blurring the lines between fiction and reality in a thrilling romance."
"Suspicious Partner","Mystery, Romance, Comedy","Legal","Netflix","A prosecutor and a trainee lawyer become entangled in a murder case, uncovering secrets while navigating love and trust."
"The Guest","Mystery, Horror, Fantasy","Supernatural","Viki","A psychic, a priest, and a detective join forces to fight demonic possessions rooted in a tragic past, blending horror and mystery."
"Memorist","Mystery, Thriller, Fantasy","Crime","Viki","A detective with the power to read memories hunts a serial killer, facing psychological twists and moral dilemmas along the way."
"Tell Me What You Saw","Mystery, Thriller","Crime","Viki","A reclusive profiler returns to solve a string of murders with a rookie detective, confronting trauma and a cunning killer."
"Tunnel","Mystery, Thriller, Fantasy","Crime, Time Travel","Viki","A detective from the 1980s travels through time to solve a serial murder case, connecting past and present in a gripping investigation."
"Hotel Del Luna","Fantasy, Romance, Drama","Supernatural","Netflix","The manager of a mystical hotel for ghosts meets its centuries-old owner, a beautiful but cursed woman, and helps her find peace and redemption."
"A Korean Odyssey","Fantasy, Romance","Comedy","Netflix","A modern twist on a classic tale where a powerful demon and a woman who can see spirits form a reluctant alliance that blossoms into love."
"Legend of the Blue Sea","Fantasy, Romance","Comedy","Netflix","A mermaid from the Joseon era ends up in modern Seoul and reunites with her reincarnated lover, navigating love, mystery, and hilarious culture clashes."
"Doom at Your Service","Fantasy, Romance","Drama","Viki","A woman with a terminal illness makes a wish to end the world, summoning a supernatural being who offers her a dangerous but romantic deal."
"The King: Eternal Monarch","Fantasy, Romance, Sci-Fi","Time Travel","Netflix","A Korean emperor crosses into a parallel universe and meets a detective, unraveling a mystery that spans dimensions and destiny."
"I'm Not a Robot","Fantasy, Romance, Sci-Fi","Technology, AI","Netflix","A man allergic to human contact falls for a woman pretending to be a robot, leading to a heartwarming and quirky love story."
"My Love from the Star","Fantasy, Romance, Comedy","Sci-Fi","Netflix","An alien stranded on Earth for centuries falls in love with a famous actress just as his time to return home approaches."
"Sisyphus: The Myth","Sci-Fi, Fantasy","Action","Netflix","A genius engineer discovers a hidden world of time travelers and fights to prevent a dystopian future with the help of a mysterious warrior."
"Memories of the Alhambra","Sci-Fi, Fantasy, Romance","Game","Netflix","A tech CEO investigates a groundbreaking AR game in Spain, where virtual and real worlds collide in a suspenseful and romantic adventure."
"Circle","Sci-Fi, Mystery","Thriller","Viki","Two timelines—one in the present, one in the future—intertwine as brothers uncover secrets about alien technology and human memory control."
"Duel","Sci-Fi, Thriller","Crime","Viki","A detective investigates a case involving human clones, leading to moral dilemmas and a race against time to uncover the truth."
